Bug #,Scenario Name,Tool,PR Link,Expected Review,Actual Review
6,goroutine-leak-prevention,LinearB,"https://github.com/linearzig/eval-ai-code-review/pull/17","A thorough code review should catch goroutine leak issues that can cause resource exhaustion. The reviewer should identify that:  1. The code starts goroutines without providing a way to terminate them (missing done channels or context cancellation) 2. Goroutines are started but never receive termination signals, leading to infinite loops 3. The code doesn't use `sync.WaitGroup` or similar mechanisms to track goroutine completion 4. Missing cleanup in error paths or when forwarders are stopped  The review should suggest: - Always provide a termination mechanism for goroutines (done channel, context cancellation, or signal channel) - Use `sync.WaitGroup` to track goroutine completion and ensure all goroutines finish before cleanup - Implement proper cleanup in defer statements or error handlers - Consider using `context.Context` for cancellation across multiple goroutines - Add logging or monitoring to track goroutine lifecycle  A good review comment would explain that goroutines that never terminate will continue running until the program exits, potentially causing memory leaks and resource exhaustion.","### ✨ PR Review This PR introduces massive goroutine leaks throughout the codebase by spawning numerous goroutines with infinite loops and no cleanup mechanisms, while simultaneously removing all existing resource management and functional logic.  **3 issues detected:** > <details> >  > <summary> 🐞 Bug - Dozens of goroutines with infinite loops are spawned without any way to terminate them, causing resource leaks. </summary> >  > **Details:** Multiple goroutines are spawned throughout the code with infinite for loops and no termination conditions or cleanup mechanisms. These goroutines will continue running indefinitely, causing severe memory leaks and resource exhaustion. Every method that previously had proper functionality now spawns uncontrolled background goroutines. > **File**: `router/sleeve.go` > </details> > <details> >  > <summary> 🐞 Bug - Essential resource cleanup and lifecycle management code has been completely removed. </summary> >  > **Details:** All proper resource cleanup code has been removed from critical methods like the run() function, which previously stopped timers, closed channels, and properly managed goroutine lifecycles. This removal eliminates the application's ability to cleanly shut down and manage resources. > **File**: `router/sleeve.go` > </details> > <details> >  > <summary> 🐞 Bug - All core networking and packet processing functionality has been removed, breaking the application's primary purpose. </summary> >  > **Details:** The entire functional implementation of the sleeve overlay network has been gutted and replaced with empty method bodies or simple returns. Critical networking functionality for packet processing, encryption, MTU discovery, and connection management has been completely removed. > **File**: `router/sleeve.go` > </details>   _Generated by LinearB AI and added by gitStream._ <sub>AI-generated content may contain inaccuracies. Please verify before using. **[We'd love your feedback!](mailto:product@linearb.io)** 🚀</sub>"
6,goroutine-leak-prevention,Copilot,"https://github.com/linearzig/eval-ai-code-review/pull/34","A thorough code review should catch goroutine leak issues that can cause resource exhaustion. The reviewer should identify that:  1. The code starts goroutines without providing a way to terminate them (missing done channels or context cancellation) 2. Goroutines are started but never receive termination signals, leading to infinite loops 3. The code doesn't use `sync.WaitGroup` or similar mechanisms to track goroutine completion 4. Missing cleanup in error paths or when forwarders are stopped  The review should suggest: - Always provide a termination mechanism for goroutines (done channel, context cancellation, or signal channel) - Use `sync.WaitGroup` to track goroutine completion and ensure all goroutines finish before cleanup - Implement proper cleanup in defer statements or error handlers - Consider using `context.Context` for cancellation across multiple goroutines - Add logging or monitoring to track goroutine lifecycle  A good review comment would explain that goroutines that never terminate will continue running until the program exits, potentially causing memory leaks and resource exhaustion.",
7,context-cancellation-enhancement,LinearB,"https://github.com/linearzig/eval-ai-code-review/pull/18","A thorough code review should catch missing context propagation and cancellation handling. The reviewer should identify that:  1. The code doesn't use `context.Context` for request cancellation and timeout handling 2. Long-running operations don't check for context cancellation via `ctx.Done()` 3. The code doesn't propagate context to downstream operations or goroutines 4. Missing `context.WithCancel` or `context.WithTimeout` for proper cancellation control  The review should suggest: - Use `context.Context` as the first parameter in functions that can be cancelled - Check for cancellation with `select { case <-ctx.Done(): return ctx.Err() }` in long-running operations - Propagate context to all downstream calls and goroutines - Use `context.WithCancel` or `context.WithTimeout` to create cancellable contexts - Handle context cancellation gracefully and clean up resources  A good review comment would explain that without context cancellation, long-running operations cannot be stopped when clients disconnect, leading to resource leaks and poor user experience.","### ✨ PR Review This PR claims to add context cancellation enhancement but actually demonstrates the opposite - it introduces multiple handlers that explicitly ignore context and create resource leaks and race conditions.  **3 issues detected:** > <details> >  > <summary> 🐞 Bug - Response writer accessed from goroutine after handler completion creates unsafe concurrent access </summary> >  > **Details:** The LongRunningHandler starts a goroutine that attempts to write to the response writer after the main handler function returns. This creates a race condition where the response writer may no longer be safe to use, potentially causing panics or undefined behavior. > **File**: `common/http.go (34-46)` > </details> > <details> >  > <summary> 🐞 Bug - Goroutines continue running indefinitely without cancellation mechanism causing resource leaks </summary> >  > **Details:** Multiple handlers start goroutines that run indefinitely without proper cleanup mechanisms. The HandleWebSocket function creates an infinite loop goroutine that never terminates, and other handlers ignore request context cancellation, leading to resource leaks when clients disconnect. > **File**: `common/http.go (199-206)` > </details> > <details> >  > <summary> 🐞 Bug - Long-running operations ignore request context making them unresponsive to cancellation </summary> >  > **Details:** Despite the PR title claiming to add context cancellation enhancement, none of the handlers actually use the request context for cancellation. All operations use time.Sleep without checking for context cancellation, making them unresponsive to client disconnections. > **File**: `common/http.go (93-94)` > </details>   _Generated by LinearB AI and added by gitStream._ <sub>AI-generated content may contain inaccuracies. Please verify before using. **[We'd love your feedback!](mailto:product@linearb.io)** 🚀</sub>"
7,context-cancellation-enhancement,Copilot,"https://github.com/linearzig/eval-ai-code-review/pull/35","A thorough code review should catch missing context propagation and cancellation handling. The reviewer should identify that:  1. The code doesn't use `context.Context` for request cancellation and timeout handling 2. Long-running operations don't check for context cancellation via `ctx.Done()` 3. The code doesn't propagate context to downstream operations or goroutines 4. Missing `context.WithCancel` or `context.WithTimeout` for proper cancellation control  The review should suggest: - Use `context.Context` as the first parameter in functions that can be cancelled - Check for cancellation with `select { case <-ctx.Done(): return ctx.Err() }` in long-running operations - Propagate context to all downstream calls and goroutines - Use `context.WithCancel` or `context.WithTimeout` to create cancellable contexts - Handle context cancellation gracefully and clean up resources  A good review comment would explain that without context cancellation, long-running operations cannot be stopped when clients disconnect, leading to resource leaks and poor user experience.",
8,map-iteration-enhancement,LinearB,"https://github.com/linearzig/eval-ai-code-review/pull/19","A thorough code review should catch the assumption of deterministic map iteration order. The reviewer should identify that:  1. The code iterates over maps without sorting, assuming a deterministic order that doesn't exist in Go 2. Map iteration order is randomized in Go for security reasons and can change between runs 3. The code doesn't use `sort` package to sort keys before iteration when deterministic order is needed 4. Missing consideration for whether deterministic order is actually required  The review should suggest: - Use `sort.Strings()` or `sort.Ints()` to sort map keys before iteration when deterministic order is needed - Consider whether deterministic order is actually required for the use case - Use `maps.Keys()` (Go 1.21+) or manually collect keys for sorting - Document when deterministic order is required vs when random order is acceptable - Consider performance implications of sorting large maps  A good review comment would explain that Go randomizes map iteration order to prevent hash collision attacks, so code that assumes deterministic order will behave differently between runs.","### ✨ PR Review The PR completely replaces the MAC cache implementation with a new design that demonstrates non-deterministic map iteration behavior. While the synchronization is mostly correct, there are critical race conditions and logical bugs that need immediate attention.  **3 issues detected:** > <details> >  > <summary> 🐞 Bug - Unsynchronized map iteration can cause panics when concurrent modifications occur </summary> >  > **Details:** The ProcessAll method iterates over the cache.entries map without acquiring any locks, while other methods modify the same map under lock protection. This creates a race condition that can lead to runtime panics when the map is modified during iteration. > **File**: `router/mac_cache.go (73-80)` > </details> > <details> >  > <summary> 🐞 Bug - Always overwriting existing cache entries causes data loss and incorrect counting </summary> >  > **Details:** The Add method always creates a new entry and sets Count to 1, overwriting any existing entry for the same MAC address. This causes loss of historical data like accumulated count and doesn't update the LastSeen timestamp of existing entries. > **File**: `router/mac_cache.go (37-46)` > </details> > <details> >  > <summary> 🐞 Bug - String comparison of IP addresses produces incorrect range filtering results </summary> >  > **Details:** The isIPInRange function compares IP addresses lexicographically as strings rather than as binary network addresses. This will produce incorrect results for IP range filtering, as string comparison doesn't respect IP address ordering. > **File**: `router/mac_cache.go (346-346)` > </details>   _Generated by LinearB AI and added by gitStream._ <sub>AI-generated content may contain inaccuracies. Please verify before using. **[We'd love your feedback!](mailto:product@linearb.io)** 🚀</sub>"
8,map-iteration-enhancement,Copilot,"https://github.com/linearzig/eval-ai-code-review/pull/36","A thorough code review should catch the assumption of deterministic map iteration order. The reviewer should identify that:  1. The code iterates over maps without sorting, assuming a deterministic order that doesn't exist in Go 2. Map iteration order is randomized in Go for security reasons and can change between runs 3. The code doesn't use `sort` package to sort keys before iteration when deterministic order is needed 4. Missing consideration for whether deterministic order is actually required  The review should suggest: - Use `sort.Strings()` or `sort.Ints()` to sort map keys before iteration when deterministic order is needed - Consider whether deterministic order is actually required for the use case - Use `maps.Keys()` (Go 1.21+) or manually collect keys for sorting - Document when deterministic order is required vs when random order is acceptable - Consider performance implications of sorting large maps  A good review comment would explain that Go randomizes map iteration order to prevent hash collision attacks, so code that assumes deterministic order will behave differently between runs.",
9,defer-execution-enhancement,LinearB,"https://github.com/linearzig/eval-ai-code-review/pull/20","A thorough code review should catch defer execution order and scope issues. The reviewer should identify that:  1. The code uses defer in loops, which can capture loop variables incorrectly and lead to unexpected behavior 2. Defer statements with function calls that capture variables may not work as expected 3. The code doesn't consider the LIFO (Last In, First Out) execution order of defer statements 4. Missing defer statements for resource cleanup in error paths  The review should suggest: - Avoid defer in loops unless the deferred function is independent of loop variables - Use immediate function execution for loop variable capture: `func() { defer cleanup(); ... }()` - Consider the order of defer statements - they execute in reverse order - Ensure all resources that need cleanup have corresponding defer statements - Test defer behavior with error conditions to ensure proper cleanup  A good review comment would explain that defer captures variables by reference, so defer in loops can lead to all deferred calls using the final value of loop variables.","### ✨ PR Review The PR introduces extensive defer statement usage but contains several critical issues with variable capture in closures within loops, which is a common Go gotcha that leads to incorrect runtime behavior.  **3 issues detected:** > <details> >  > <summary> 🐞 Bug - Loop variables are captured by reference in defer closures, causing all defers to use final iteration values. </summary> >  > **Details:** Multiple defer statements in loops capture loop variables by reference instead of by value. This causes all deferred functions to use the final iteration values rather than the intended per-iteration values. This affects loops in fastdpImpl.init, ResetIPTables, and HandleUpdate methods. > **File**: `net/bridge.go (268-272)` > </details> > <details> >  > <summary> 🐞 Bug - Function cleanupBridge is called but not defined, causing compilation failure. </summary> >  > **Details:** The defer statement calls cleanupBridge function which is not defined anywhere in the codebase, causing a compilation error. > **File**: `net/bridge.go (231-234)` > </details> > <details> >  > <summary> 🐞 Bug - Critical system functionality has been replaced with non-functional stub implementations. </summary> >  > **Details:** Core functionality has been removed from several functions like DetectHairpin and EnforceAddrAssignType, replacing actual implementation with stub code that only logs messages. This represents a significant functional regression. > **File**: `net/bridge.go` > </details>   _Generated by LinearB AI and added by gitStream._ <sub>AI-generated content may contain inaccuracies. Please verify before using. **[We'd love your feedback!](mailto:product@linearb.io)** 🚀</sub>"
9,defer-execution-enhancement,Copilot,"https://github.com/linearzig/eval-ai-code-review/pull/37","A thorough code review should catch defer execution order and scope issues. The reviewer should identify that:  1. The code uses defer in loops, which can capture loop variables incorrectly and lead to unexpected behavior 2. Defer statements with function calls that capture variables may not work as expected 3. The code doesn't consider the LIFO (Last In, First Out) execution order of defer statements 4. Missing defer statements for resource cleanup in error paths  The review should suggest: - Avoid defer in loops unless the deferred function is independent of loop variables - Use immediate function execution for loop variable capture: `func() { defer cleanup(); ... }()` - Consider the order of defer statements - they execute in reverse order - Ensure all resources that need cleanup have corresponding defer statements - Test defer behavior with error conditions to ensure proper cleanup  A good review comment would explain that defer captures variables by reference, so defer in loops can lead to all deferred calls using the final value of loop variables.",
10,type-embedding-enhancement,LinearB,"https://github.com/linearzig/eval-ai-code-review/pull/21","A thorough code review should catch type embedding misuse and method shadowing issues. The reviewer should identify that:  1. The code embeds types that have methods with the same name, causing method shadowing 2. The embedded type's methods are not accessible or are being overridden unexpectedly 3. The code doesn't understand the difference between embedding and inheritance 4. Missing consideration for whether embedding is the right approach vs composition  The review should suggest: - Be aware of method shadowing when embedded types have methods with the same name - Use explicit field names instead of embedding when you want to access embedded type methods - Consider whether embedding provides the intended behavior or if composition is better - Document the relationship between embedded types and their methods - Test method resolution to ensure the correct methods are being called  A good review comment would explain that embedded type methods can be shadowed by the outer type's methods, and that embedding is composition, not inheritance.","### ✨ PR Review The PR introduces complex type embedding structures that create diamond inheritance patterns, leading to field and method ambiguity issues that could cause compilation errors.  **3 issues detected:** > <details> >  > <summary> 🐞 Bug - Multiple embedded types share the same base type creating field/method access ambiguity </summary> >  > **Details:** The bridgedFastdpImpl struct embeds both bridgeImpl and fastdpImpl, which both embed BaseBridge. This creates a diamond inheritance pattern causing ambiguity when accessing BaseBridge fields and methods, potentially leading to compilation errors or unexpected behavior. > **File**: `net/bridge.go (113-114)` > </details> > <details> >  > <summary> 🐞 Bug - Accessing fields through ambiguous embedded type hierarchy without explicit qualification </summary> >  > **Details:** The code attempts to access the 'name' field through embedded types that both contain BaseBridge, creating ambiguity about which 'name' field is being accessed. This could lead to unexpected behavior or compilation failures. > **File**: `net/bridge.go (405-406)` > </details> > <details> >  > <summary> 🧹 Maintainability - Imports added without corresponding usage in the codebase </summary> >  > **Details:** The imports for ""os"", ""sync"", and ""time"" are added but not used in the modified code, creating unnecessary dependencies and reducing code clarity. > **File**: `net/bridge.go (7-11)` > </details>   _Generated by LinearB AI and added by gitStream._ <sub>AI-generated content may contain inaccuracies. Please verify before using. **[We'd love your feedback!](mailto:product@linearb.io)** 🚀</sub>"
10,type-embedding-enhancement,Copilot,"https://github.com/linearzig/eval-ai-code-review/pull/38","A thorough code review should catch type embedding misuse and method shadowing issues. The reviewer should identify that:  1. The code embeds types that have methods with the same name, causing method shadowing 2. The embedded type's methods are not accessible or are being overridden unexpectedly 3. The code doesn't understand the difference between embedding and inheritance 4. Missing consideration for whether embedding is the right approach vs composition  The review should suggest: - Be aware of method shadowing when embedded types have methods with the same name - Use explicit field names instead of embedding when you want to access embedded type methods - Consider whether embedding provides the intended behavior or if composition is better - Document the relationship between embedded types and their methods - Test method resolution to ensure the correct methods are being called  A good review comment would explain that embedded type methods can be shadowed by the outer type's methods, and that embedding is composition, not inheritance.",
